geoidtxt,tractfips,chicago,mailreturnratecen2010,lowresponsescore,totpop,totunder5,hispanic,blackaloneorcombo,asianaloneorcombo,amerindaloneorcombo,nathawaloneorcombo,tothh,totpopinhhs,groupquarter,lephhs,lepspanhhs,lepindoeurhhs,lepapachhs,lepotherhhs,totpopbornoutus,fb2010plus,fb2000plus,owner_total,renter_total,hh_singleparent,hh_crowded,hh_owner_crowded,hh_renter_crowded,poverty_total,poverty_less100,poverty_less200,housingunits_total,units_2plus,units_10plus,nointernet,internet_nosub,internet,dialuponly,broadband_any,broadband_cablefiberopticdsl,broadband_cablefiberopticdslonly,cellular,cellularonly,satellite,satelliteonly,otheronly,hher15to34,hher35to54,hher55to64,hher65plus,moved2015later,move10to14,moved00to09,moved90to99,moved1989earlier,intfirsteng,intfirstbiling,intchoiceeng,intchoicebiling,mailtypenotknown,updateenumerate,remotealaska,updateleave
17031480300,4803,TRUE,75.4,26.5,"1,103",34,24,"1,069",7,10,0,531,"1,097",6,0,0,0,0,0,14,7,8,273,258,77,0,0,0,"1,103",272,450,618,290,20,134,15,382,14,368,290,142,226,70,16,0,0,75,133,108,215,75,114,107,74,161,0,0,618,0,0,0,0,0
17031480400,4804,TRUE,81.8,22.2,"5,584",118,101,"5,424",0,0,0,"2,188","5,584",0,17,17,0,0,0,132,0,0,"1,850",338,323,58,58,0,"5,584",696,"2,259","2,547",146,0,486,14,"1,688",26,"1,662","1,323",406,"1,181",213,223,25,15,126,624,413,"1,025",80,403,351,278,"1,076",0,0,"2,547",0,0,0,0,0
17031480500,4805,TRUE,81.2,28,"2,938",91,315,"2,622",8,0,0,"1,100","2,938",0,40,40,0,0,0,322,0,0,703,397,177,35,11,24,"2,938",609,"1,360","1,286",380,8,173,27,900,10,890,632,145,729,250,83,8,0,83,375,302,340,99,264,196,122,419,"1,286",0,0,0,0,0,0,0
17031490300,4903,TRUE,82,25.6,"2,340",135,36,"2,312",6,10,6,882,"2,340",0,6,0,0,0,6,52,0,0,601,281,215,0,0,0,"2,340",442,859,982,85,5,169,25,688,6,682,482,155,479,157,57,37,0,20,340,239,283,59,248,267,85,223,0,0,982,0,0,0,0,0
17031490400,4904,TRUE,79.9,25.4,773,49,0,773,0,0,0,337,773,0,0,0,0,0,0,23,17,17,193,144,34,0,0,0,773,43,155,454,159,16,69,12,256,6,250,212,97,133,26,13,6,0,7,120,105,105,29,62,93,55,98,0,0,454,0,0,0,0,0
17031490500,4905,TRUE,78.7,25.9,"2,008",72,31,"1,890",25,48,0,719,"1,838",170,0,0,0,0,0,76,36,51,517,202,143,0,0,0,"1,838",360,620,853,243,5,143,16,560,5,555,387,166,362,99,7,0,20,50,318,146,205,93,136,154,138,198,0,0,853,0,0,0,0,0
17031490600,4906,TRUE,72.5,23.6,"1,498",88,0,"1,442",34,0,0,556,"1,493",5,34,0,34,0,0,116,14,46,459,97,116,7,0,7,"1,498",244,716,608,29,0,101,44,411,0,411,298,99,280,90,56,16,0,45,193,108,210,29,58,202,109,158,0,0,608,0,0,0,0,0
17031490700,4907,TRUE,71.9,29.1,"2,720",73,12,"2,720",0,0,0,895,"2,720",0,14,14,0,0,0,54,30,49,587,308,142,0,0,0,"2,720",606,"1,234","1,101",127,0,206,34,655,0,655,530,255,372,95,71,14,0,53,328,209,305,116,173,172,156,278,0,0,"1,101",0,0,0,0,0
17031490800,4908,TRUE,71.5,27.1,"4,116",166,11,"3,992",26,25,0,"1,470","4,116",0,10,0,10,0,0,45,0,14,"1,028",442,377,9,9,0,"4,116","1,077","1,653","1,639",394,76,233,23,"1,214",13,"1,201",989,469,629,114,85,85,0,116,656,223,475,99,407,349,163,452,0,0,"1,639",0,0,0,0,0
17031490901,4909.01,TRUE,68.7,29.9,"3,689",388,72,"3,688",0,8,0,"1,397","3,671",18,9,9,0,0,0,20,0,0,502,895,386,46,0,46,"3,689",892,"1,693","1,782","1,128",118,406,45,946,0,946,710,266,680,212,59,0,0,193,466,333,405,353,270,342,130,302,0,0,"1,782",0,0,0,0,0
17031490902,4909.02,TRUE,77.9,26.3,"4,355",73,32,"4,308",27,0,0,"1,850","4,355",0,0,0,0,0,0,95,27,27,"1,040",810,337,31,0,31,"4,355",668,"1,463","2,171",651,310,588,35,"1,227",16,"1,211","1,092",606,563,67,97,8,0,128,592,269,861,185,516,353,240,556,0,0,"2,171",0,0,0,0,0
17031491000,4910,TRUE,68.7,33.1,"4,239",144,18,"4,124",12,50,0,"1,112","4,233",6,0,0,0,0,0,51,6,6,518,594,349,31,9,22,"4,213","2,047","3,108","1,728",634,142,511,13,588,0,588,440,269,308,148,3,0,0,127,355,230,400,41,406,242,52,371,0,0,"1,728",0,0,0,0,0
17031491100,4911,TRUE,84,23.1,"4,160",256,101,"3,968",0,0,0,"1,386","3,894",266,0,0,0,0,0,24,0,11,"1,030",356,215,21,12,9,"3,894",709,"1,348","1,623",191,0,356,44,986,17,969,920,552,405,33,59,0,0,130,363,202,691,77,296,218,119,676,0,0,"1,623",0,0,0,0,0
