"TRACT","ward","households","tract_total","allocation","tract_shortname"
"17031180100",29,748,2155,0.347099767981438,"1801"
"17031180100",36,1407,2155,0.652900232018562,"1801"
"17031190100",31,882,882,1,"1901"
"17031190200",30,47,1518,0.030961791831357,"1902"
"17031190200",31,1471,1518,0.969038208168643,"1902"
"17031190300",30,150,1755,0.0854700854700855,"1903"
"17031190300",31,1605,1755,0.914529914529915,"1903"
"17031190401",30,1000,1335,0.749063670411985,"1904.01"
"17031190401",36,335,1335,0.250936329588015,"1904.01"
"17031190402",30,1496,1868,0.800856531049251,"1904.02"
"17031190402",31,372,1868,0.199143468950749,"1904.02"
"17031190601",30,1228,1228,1,"1906.01"
"17031190602",30,2021,2021,1,"1906.02"
"17031190701",30,535,893,0.599104143337066,"1907.01"
"17031190701",31,358,893,0.400895856662934,"1907.01"
"17031190702",30,929,1453,0.639366827253957,"1907.02"
"17031190702",31,524,1453,0.360633172746043,"1907.02"
"17031190800",31,2238,2238,1,"1908"
"17031190900",31,683,683,1,"1909"
"17031191000",31,42,793,0.0529634300126103,"1910"
"17031191000",36,751,793,0.94703656998739,"1910"
"17031191100",31,39,2221,0.0175596578117965,"1911"
"17031191100",36,2182,2221,0.982440342188204,"1911"
"17031191200",36,1231,1234,0.997568881685575,"1912"
"17031191200",37,3,1234,0.00243111831442464,"1912"
"17031191301",29,1,1627,0.000614628149969269,"1913.01"
"17031191301",36,1626,1627,0.999385371850031,"1913.01"
"17031191302",36,1403,1403,1,"1913.02"
"17031200100",31,1388,1388,1,"2001"
"17031200200",31,1646,1646,1,"2002"
"17031200300",31,385,582,0.661512027491409,"2003"
"17031200300",35,197,582,0.338487972508591,"2003"
"17031200401",35,581,1041,0.558117195004803,"2004.01"
"17031200401",36,460,1041,0.441882804995197,"2004.01"
"17031200402",26,298,1076,0.276951672862454,"2004.02"
"17031200402",35,778,1076,0.723048327137547,"2004.02"
"17031210100",33,1372,1414,0.97029702970297,"2101"
"17031210100",35,42,1414,0.0297029702970297,"2101"
"17031210400",31,1023,1023,1,"2104"
"17031210501",30,1302,1302,1,"2105.01"
"17031210502",30,1468,1468,1,"2105.02"
"17031210601",35,950,950,1,"2106.01"
"17031210602",35,1555,1555,1,"2106.02"
"17031210700",33,1615,1615,1,"2107"
"17031210800",33,391,391,1,"2108"
"17031210900",33,1223,1223,1,"2109"
"17031220300",1,219,963,0.227414330218069,"2203"
"17031220300",32,744,963,0.772585669781931,"2203"
"17031220400",1,212,1144,0.185314685314685,"2204"
"17031220400",32,932,1144,0.814685314685315,"2204"
"17031220500",32,1287,1287,1,"2205"
"17031220601",32,196,711,0.275668073136428,"2206.01"
"17031220601",35,515,711,0.724331926863572,"2206.01"
"17031220602",32,116,2501,0.0463814474210316,"2206.02"
"17031220602",35,2385,2501,0.953618552578968,"2206.02"
"17031220701",31,1082,1082,1,"2207.01"
"17031220702",31,924,1334,0.692653673163418,"2207.02"
"17031220702",35,410,1334,0.307346326836582,"2207.02"
"17031220901",26,629,998,0.630260521042084,"2209.01"
"17031220901",35,369,998,0.369739478957916,"2209.01"
"17031220902",35,1017,1017,1,"2209.02"
"17031221000",26,218,1044,0.208812260536398,"2210"
"17031221000",35,826,1044,0.791187739463602,"2210"
"17031221100",26,1072,2257,0.474966770048737,"2211"
"17031221100",32,545,2257,0.241470979175897,"2211"
"17031221100",35,640,2257,0.283562250775366,"2211"
"17031221200",32,1295,1295,1,"2212"
