"TRACT_2020","TRACT_prev","N","tot2020","allocation"
"17031530400","17031530400",747,747,1
"17031530501","17031530501",1707,1707,1
"17031530502","17031530502",537,537,1
"17031530503","17031530503",1859,1859,1
"17031530600","17031530600",1003,1003,1
"17031540101","17031540101",1375,1375,1
"17031540102","17031540102",1198,1198,1
"17031550100","17031550100",2761,2761,1
"17031550200","17031550200",1066,1066,1
"17031560100","17031560100",669,669,1
"17031560200","17031560200",637,637,1
"17031560300","17031560300",978,978,1
"17031560400","17031560400",477,477,1
"17031560700","17031560700",1171,1171,1
"17031560800","17031560800",2194,2194,1
"17031560900","17031560900",1961,1961,1
"17031561000","17031561000",2176,2176,1
"17031561100","17031561100",1911,1911,1
"17031570100","17031570100",394,394,1
"17031570200","17031570200",603,603,1
"17031570300","17031570300",1692,1692,1
"17031570400","17031570400",584,584,1
"17031570500","17031570500",742,742,1
"17031580100","17031580100",898,898,1
"17031580200","17031580200",894,894,1
"17031580300","17031580300",712,712,1
"17031580400","17031580400",1517,1517,1
"17031580501","17031580501",1413,1413,1
"17031580502","17031580502",1442,1442,1
"17031580600","17031580600",1437,1437,1
"17031580700","17031580700",1664,1664,1
"17031580800","17031580800",714,714,1
"17031590500","17031590500",700,700,1
"17031590600","17031590600",1167,1167,1
"17031590700","17031590700",994,994,1
"17031600400","17031600400",1628,1628,1
"17031600600","17031600600",1026,1026,1
"17031600700","17031600700",1124,1124,1
"17031600900","17031600900",1428,1428,1
"17031610300","17031610300",1596,1596,1
"17031610400","17031610400",598,598,1
"17031610800","17031610800",555,555,1
"17031611200","17031611200",860,860,1
"17031611300","17031611300",857,857,1
"17031611400","17031611400",944,944,1
"17031611500","17031611500",1121,1121,1
"17031611600","17031611600",511,511,1
"17031611700","17031611700",510,510,1
"17031611800","17031611800",633,633,1
"17031611900","17031611900",548,548,1
"17031612000","17031612000",498,498,1
"17031612100","17031612100",396,396,1
"17031612200","17031611000",313,1064,0.294172932330827
"17031612200","17031611100",751,1064,0.705827067669173
"17031620100","17031620100",1226,1226,1
"17031620200","17031620200",873,873,1
"17031620300","17031620300",2025,2025,1
"17031620400","17031620400",1224,1224,1
"17031630300","17031630300",1259,1259,1
"17031630400","17031630400",1766,1766,1
"17031630500","17031630500",1557,1557,1
"17031630600","17031630100",281,864,0.325231481481481
"17031630600","17031630200",583,864,0.674768518518518
"17031630800","17031630800",1783,1783,1
"17031630900","17031630900",1274,1274,1
"17031640100","17031640100",470,470,1
"17031640300","17031640300",2418,2418,1
"17031640400","17031640400",1237,1237,1
"17031640500","17031640500",1472,1472,1
"17031640600","17031640600",1694,1694,1
"17031640700","17031640700",1120,1120,1
"17031640800","17031640800",542,542,1
"17031650100","17031650100",1223,1223,1
"17031650200","17031650200",2112,2112,1
"17031650301","17031650301",1570,1570,1
"17031650302","17031650302",1123,1123,1
"17031650400","17031650400",1760,1760,1
"17031650500","17031650500",1491,1491,1
"17031660301","17031660301",584,584,1
"17031660302","17031660302",1503,1503,1
"17031660400","17031660400",1796,1796,1
"17031660500","17031660500",1714,1714,1
"17031660600","17031660600",2084,2084,1
"17031660700","17031660700",791,791,1
"17031660800","17031660800",1677,1677,1
"17031660900","17031660900",1500,1500,1
"17031661000","17031661000",1915,1915,1
"17031661100","17031661100",1941,1941,1
"17031670100","17031670100",406,406,1
"17031670200","17031670200",355,355,1
"17031670300","17031670300",478,478,1
"17031670400","17031670400",543,543,1
"17031670500","17031670500",368,368,1
"17031670600","17031670600",401,401,1
"17031670700","17031670700",419,419,1
"17031670800","17031670800",537,537,1
"17031670900","17031670900",520,520,1
"17031671100","17031671100",320,320,1
"17031671200","17031671200",321,321,1
"17031671300","17031671300",630,630,1
"17031671400","17031671400",487,487,1
"17031671500","17031671500",905,905,1
"17031671600","17031671600",869,869,1
"17031671800","17031671800",386,386,1
"17031671900","17031671900",336,336,1
"17031672000","17031672000",1259,1259,1
"17031680500","17031680500",413,413,1
"17031680600","17031680600",406,406,1
"17031680900","17031680900",1623,1623,1
"17031681000","17031681000",1293,1293,1
"17031681100","17031681100",1025,1025,1
"17031681200","17031681200",865,865,1
"17031681300","17031681300",777,777,1
"17031681400","17031681400",967,967,1
"17031690300","17031690300",1197,1197,1
"17031690400","17031690400",1495,1495,1
"17031690500","17031690500",339,339,1
"17031690900","17031690900",1756,1756,1
"17031691000","17031691000",1124,1124,1
"17031691100","17031691100",1241,1241,1
"17031691200","17031691200",1099,1099,1
"17031691300","17031691300",1016,1016,1
"17031691400","17031691400",1322,1322,1
"17031691500","17031691500",843,843,1
"17031700100","17031700100",1074,1074,1
"17031700200","17031700200",1919,1919,1
"17031700301","17031700301",2088,2088,1
"17031700302","17031700302",1796,1796,1
"17031700401","17031700401",1906,1906,1
"17031700402","17031700402",1333,1333,1
"17031700501","17031700501",2932,2932,1
"17031700502","17031700502",1283,1283,1
"17031710100","17031710100",471,471,1
"17031710200","17031710200",1891,1891,1
"17031710300","17031710300",549,549,1
"17031710400","17031710400",1921,1921,1
"17031710500","17031710500",1655,1655,1
"17031710600","17031710600",680,680,1
"17031710700","17031710700",1390,1390,1
"17031710800","17031710800",2052,2052,1
"17031710900","17031710900",838,838,1
"17031711000","17031711000",1111,1111,1
"17031711100","17031711100",987,987,1
"17031711200","17031711200",2050,2050,1
"17031711300","17031711300",640,640,1
"17031711400","17031711400",872,872,1
"17031711500","17031711500",866,866,1
"17031720100","17031720100",1229,1229,1
"17031720200","17031720200",1724,1724,1
"17031720300","17031720300",1357,1357,1
"17031720400","17031720400",741,741,1
"17031720500","17031720500",794,794,1
"17031720600","17031720600",627,627,1
"17031720700","17031720700",1479,1479,1
"17031730100","17031730100",940,940,1
"17031730201","17031730201",2490,2490,1
"17031730202","17031730202",1437,1437,1
"17031730300","17031730300",435,435,1
"17031730400","17031730400",1405,1405,1
"17031730500","17031730500",1643,1643,1
"17031730600","17031730600",1358,1358,1
"17031730700","17031730700",871,871,1
"17031740100","17031740100",1178,1178,1
"17031740200","17031740200",2652,2652,1
"17031740300","17031740300",1761,1761,1
"17031740400","17031740400",1861,1861,1
"17031750100","17031750100",1523,1523,1
"17031750200","17031750200",1248,1248,1
"17031750300","17031750300",956,956,1
"17031750400","17031750400",1210,1210,1
"17031750500","17031750500",2490,2490,1
"17031750600","17031750600",1279,1279,1
"17031760801","17031760801",2701,2701,1
"17031760802","17031760802",1151,1151,1
"17031760803","17031760803",2823,2823,1
"17031830500","17031830500",1088,1088,1
"17031830600","17031830600",1956,1956,1
"17031830700","17031830700",2403,2403,1
"17031830800","17031830800",1437,1437,1
"17031830900","17031830900",1307,1307,1
"17031831000","17031831000",1103,1103,1
"17031831100","17031831100",2768,2768,1
"17031831200","17031831200",1450,1450,1
"17031831300","17031831300",374,374,1
"17031831400","17031831400",1296,1296,1
"17031831500","17031831500",1130,1130,1
"17031831600","17031831600",2818,2818,1
"17031831700","17031831700",802,802,1
"17031831800","17031831800",2570,2570,1
"17031831900","17031831900",1329,1329,1
"17031832000","17031832000",899,899,1
"17031832100","17031832100",1794,1794,1
"17031832200","17031832200",1508,1508,1
"17031832300","17031832300",929,929,1
"17031832400","17031832400",1234,1234,1
"17031832500","17031832500",1977,1977,1
"17031832600","17031832600",1771,1771,1
"17031832900","17031832900",1139,1139,1
"17031833000","17031833000",2523,2523,1
"17031833100","17031833100",4371,4371,1
"17031833300","17031833300",936,936,1
"17031833900","17031833900",804,804,1
"17031834000","17031834000",1157,1157,1
"17031834200","17031834200",1864,1864,1
"17031834300","17031834300",2648,2648,1
"17031834400","17031834400",1783,1783,1
"17031834500","17031834500",487,487,1
"17031834600","17031834600",1070,1070,1
"17031834700","17031834700",607,607,1
"17031834800","17031834800",691,691,1
"17031834900","17031834900",822,822,1
"17031835000","17031835000",1937,1937,1
"17031835100","17031835100",1407,1407,1
"17031835200","17031835200",673,673,1
"17031835500","17031835500",740,740,1
"17031835600","17031835600",353,353,1
"17031835800","17031835800",647,647,1
"17031836000","17031836000",1328,1328,1
"17031836100","17031836100",780,780,1
"17031836200","17031836200",1389,1389,1
"17031836300","17031836300",723,723,1
"17031836400","17031836400",1657,1657,1
"17031836500","17031836500",698,698,1
"17031836600","17031836600",967,967,1
"17031836700","17031836700",872,872,1
"17031836800","17031836800",1033,1033,1
"17031836900","17031836900",462,462,1
"17031837000","17031837000",821,821,1
"17031837100","17031837100",864,864,1
"17031837300","17031837300",1129,1129,1
"17031837400","17031837400",1134,1134,1
"17031837800","17031837800",1336,1336,1
"17031838000","17031838000",1327,1327,1
"17031838100","17031838100",1356,1356,1
"17031838200","17031838200",1433,1433,1
"17031838300","17031838300",803,803,1
